Facility_ID,Reception_Room(s),Consultation_Room(s),Dressing_Room(s),Ward_Room(s),Injection_Room(s),Observation_Room(s),Remarks,Patient_Beds,Deliery_Beds,Baby_Cots,Ambulances,Cars,Motorcycles,Other_Transport,Sterilazation_and_Infection_Control,Means_of_Transport_to_Referral_Point,Distance_to_Referral_Point,Challanges/Remarks_to_Referral_Point,Other_Source_of_Energy,Other_Mobile_Networks,Other_Source_of_Water,Toilet_Remarks,Other_Waste_Management
111533-6,1,2,1,Not set,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Hire car,10 km to Sinza hospital,Traffic jam,Not set,Not set,Not set,Not set,Not set
104868-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104858-6,1,2,1,Not set,1,2,Good,5,Not set,Not set,Not set,Not set,Not set,Not set,,Self transport,5,Traffic Jam,Not set,Not set,Not set,Not set,Not set
111626-8,1,2,Not set,Not set,Not set,3,Not set,6,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,4 km,Not set,Not set,TTCL,Not set,Not set,Not set
112001-3,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104860-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110614-5,1,1,1,Not set,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,2 km,Traffic jam,Not set,Not set,Not set,Not set,Not set
110884-4,Not set,1,1,Not set,Not set,1,Not set,8,Not set,Not set,Not set,Not set,Not set,Not set,,Public,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104866-9,1,1,1,Not set,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111353-9,1,1,1,2,Not set,1,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113659-7,1,1,1,Not set,Not set,2,Not set,2,Not set,Not set,Not set,Not set,Not set,self car,self car,Self Refferal,3km,Not set,Not set,Not set,Not set,Not set,Transfer to Amana Hospital
111448-7,1,1,1,Not set,1,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104871-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104872-7,1,1,1,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Public transport,Public transport,Public transport,15,Rough road,Not set,Halotel,Not set,Well in good condition,Not set
104873-5,Not set,1,1,Not set,Not set,Not set,Dressing and Injection room are in the same room.,1,2,Not set,Not set,Not set,Not set,Not set,,they use Mvumi DDHs ambulance,22 km,Not arrival in time,kerosine,Not set,Not set,Not set,Not set
104874-3,1,1,1,Not set,Not set,1,NIL,1,1,Not set,Not set,Not set,Not set,PUBLIC,PUBLIC,ambulance from district,Not set,rough road,NIL,HOLTEL,Not set,NIL,NIL
104875-0,1,1,1,1,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Bicycle,Bicycle,AMBULANCE,49km.,impassable roadlong distance.,Not set,Not set,unprotected dug wells.,Not set,Not set
104876-8,1,1,1,Not set,Not set,1,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104879-2,1,1,1,Not set,Not set,1,Injection and dressing services provided in a single room,3,2,Not set,Not set,Not set,Not set,Not set,,Migoli health centre ambulance,5km,Not set,Not set,halotel,Not set,Not set,Not set
109137-0,2,4,1,5,1,1,It is in good condition,55,7,Not set,1,1,1,Not set,,ambulance at the facility,108,Not set,Not set,Not set,Not set,in good condition,Not set
104877-6,Not set,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104881-8,1,1,1,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,AMBULANCE,15 KM,Not set,Not set,HALOTEL,Not set,Not set,Not set
104882-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104883-4,1,1,1,1,Not set,Not set,Not set,2,2,1,Not set,Not set,Not set,Not set,,District Ambulance and public transport,50 km,Not set,Not set,Not set,Not set,Not set,Not set
104885-9,1,1,Not set,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104886-7,1,1,1,Not set,Not set,1,Not set,Not set,1,Not set,Not set,Not set,Not set,private transport,private transport,private transport,10km,Poor infrastructure,Not set,Not set,Not set,Not set,Not set
104887-5,Not set,Not set,Not set,2,Not set,2,Not set,8,2,1,Not set,Not set,Not set,Not set,,Ambulance,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104888-3,Not set,1,1,Not set,Not set,Not set,Not set,4,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111253-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113204-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110905-7,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104889-1,1,1,1,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,,Ambulance from HQ,78km,Not set,Gas,Not set,River water,Not set,Not set
104890-9,Not set,1,1,Not set,Not set,Not set,One room for dress/injec,1,1,Not set,Not set,Not set,Not set,Not set,,Motocycle,Not set,Not set,Torch,Not set,Damp,Not set,Not set
104892-5,Not set,1,1,Not set,Not set,Not set,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,,Ambulance from Miono H/C,Not set,In surfficience availability of ambulace of some health facilities.,Not set,Not set,Not set,Not set,Not set
113758-7,1,1,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104893-3,1,1,Not set,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Wanaomba gari Wilayani,16 KM,Not set,Not set,Not set,Unprotected spring water,Not set,Not set
104894-1,Not set,1,Not set,Not set,Not set,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,Bicycle,Bicycle,Not set,Not set,Not set,Not set,Not set,Local Sources,Not set,Not set
104895-8,1,1,1,7,Not set,Not set,Not set,22,2,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104896-6,1,1,Not set,Not set,Not set,Not set,Not set,1,1,1,Not set,Not set,Not set,Not set,,Not set,32KM,No challenge,Not set,Halotel,Not set,Not set,Not set
104897-4,1,4,1,1,Not set,Not set,Not set,10,2,Not set,Not set,Not set,1,Not set,,Car from DMO's office,4,Not set,Not set,Not set,Not set,Not set,Not set
104898-2,Not set,1,1,1,Not set,1,Not set,4,2,Not set,Not set,Not set,Not set,Not set,,private transport,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104899-0,Not set,3,1,1,Not set,Not set,Not set,7,Not set,Not set,1,1,Not set,Not set,,Car Ambulance Motor Cycle,8KM,Not set,GAS,Not set,Not set,Not set,Not set
113289-3,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Send to Kiwangwa Dsp
104903-0,Not set,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104904-8,1,1,1,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,private,private,Private car,10km,Lack of reliable transport,Not set,Not set,Not set,Not set,Not set
104905-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111043-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104909-7,1,1,1,Not set,Not set,1,Not set,8,1,Not set,Not set,Not set,Not set,Public transport ;eg bodab0da,Public transport ;eg bodab0da,private car,20km,Client use their own expens,Not set,Not set,Not set,Not set,Not set
104910-5,1,1,1,Not set,Not set,1,chumba kimoja kinatumika kwa kutolea huduma zaidi ya moja.,4,2,1,Not set,Not set,Not set,Public transport,Public transport,District Ambullance,25km,Kituo hakina gari,LP Gass,Halotel,Not set,Good,Not set
110182-3,1,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Public and Kifura RHC's Ambulance,60 km,Rough mud road and insufficient fuel allocation,Not set,Not set,River stream,Not set,Not set
104911-3,Not set,Not set,Not set,Not set,Not set,Not set,No enough rooms,Not set,1,Not set,Not set,Not set,Not set,From DMO Office,From DMO Office,Not set,Not set,Not set,Not set,Not set,Not set,is on process,Not set
113878-3,2,2,1,Not set,1,2,Not set,5,3,1,Not set,Not set,Not set,Not set,,call ambulance from magomeni health center,5km to Mwananyamala Hospital),Trafic jam,Not set,Not set,Not set,Not set,Not set
104912-1,Not set,Not set,Not set,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
103983-3,1,7,2,12,Not set,2,Not set,30,2,1,1,3,Not set,Not set,,Ambulance,4 km to Muhimbili,Not set,Not set,TTCL,Not set,Not set,Not set
112732-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104913-9,1,1,1,1,Not set,Not set,They use the same room forreceiption and consultation which is not goo,3,2,Not set,Not set,Not set,1,motor bike for hiring (bodaboda),motor bike for hiring (bodaboda),Patients organoze for them self,2 km,at least one car is need for serving womed during deliveries,Not set,Not set,Not set,Not set,Incinerator need mantainance
108526-5,1,1,1,2,Not set,1,Good,6,1,Not set,2,Not set,Not set,Not set,,Ambulance,7,Not set,Not set,Halotel,Not set,Good,Not set
104917-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104918-8,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,private transport,private transport,Not set,16 km,Not set,Not set,Not set,Not set,Not set,Not set
110936-2,1,1,1,Not set,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Hire,20 kms to Mwananyamala hospital,Not set,Not set,Not set,Not set,Not set,Not set
104920-4,Not set,1,Not set,Not set,Not set,Not set,Not set,1,2,2,Not set,Not set,Not set,Not set,,Not set,61Km,Not set,Not set,Not set,Fetching from nearby bore well,Not set,Not set
113527-6,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104921-2,Not set,1,1,Not set,Not set,1,Dressing & Injection share same room,2,Not set,Not set,Not set,Not set,Not set,Not set,,Shared Public Ambulances,5km,Late arrival of Ambulances,Not set,Not set,Not set,Not set,Not set
113148-1,1,1,1,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,PUBLIC,PUBLIC,AMBULANCE FROM H/C,50 KM,Not set,NIL,HALLOTEL,NIL,Not set,NIL
111472-7,Not set,1,Not set,Not set,Not set,Not set,Awaiting for opening new building,Not set,1,Not set,Not set,Not set,Not set,Uses Public transport to referral point,Uses Public transport to referral point,Public means of transport is used to reach the referral point,6km,Financial scarcity among the community,No any source of energy,Halotel,Staff shares water with the community,The staff shares same toilets with clients,Not set
111375-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104925-3,1,2,1,8,Not set,2,Not set,30,1,Not set,Not set,Not set,Not set,Not set,,public transport,40km,long distance,Not set,Not set,Not set,Not set,Not set
104926-1,1,1,Not set,1,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Chemli,Not set,Well,Not set,Not set
104961-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,8Km,Not set,Not set,TTCL,Not set,Not set,Not set
104927-9,1,2,1,6,Not set,1,Not set,15,2,Not set,Not set,Not set,3,Not set,,Ambulance from Mtowisa Health Centre,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104928-7,Not set,1,Not set,Not set,Not set,Not set,wellin good condition,1,1,Not set,Not set,Not set,Not set,Not set,0,Ambulance,52km,rough roads takes time to reach the reffera point,-,-,Not set,well in good condtion,Not set
108452-4,Not set,1,Not set,Not set,Not set,Not set,Not set,4,1,Not set,Not set,Not set,Not set,Not set,,Private car,Not set,In surfficience availability of ambulace of some health facilities.,Not set,Not set,Buying water,Not set,Not set
104931-1,1,2,1,4,Not set,1,Not set,120,6,Not set,Not set,2,Not set,Not set,0,ambulance,55 km,Not set,Not set,Not set,Not set,Not set,Not set
104933-7,1,1,1,Not set,Not set,1,Not set,3,2,Not set,1,Not set,Not set,Not set,,Ambulance,56km,Not set,Not set,Not set,Not set,Not set,Not set
111191-3,1,1,1,Not set,Not set,1,Not set,1,2,Not set,Not set,Not set,1,Not set,,Wagonjwa wanajitegemea,5kms,Wanahitaji bajaji,Not set,Not set,Not set,Not set,Not set
111499-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104935-2,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104937-8,Not set,1,1,Not set,Not set,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from DMO office,46 Kms,Not set,Not set,Not set,Dug well,Not set,Not set
104938-6,Not set,1,1,Not set,Not set,1,Not set,5,1,Not set,Not set,Not set,Not set,Not set,,BY CAR,63KM,Not set,Not set,HALOTEL,Not set,Not set,Not set
104939-4,Not set,1,1,Not set,Not set,1,Not set,1,1,Not set,1,Not set,Not set,Not set,,ambulance,80km,Rough road,Not set,Not set,Not set,Not set,Not set
104940-2,1,1,Not set,1,Not set,1,Not set,3,Not set,Not set,Not set,Not set,Not set,Not set,0,Call from kisarawe district hospital,2km,Not set,Not set,halotel,Not set,Not set,Not set
104941-0,1,3,1,Not set,Not set,Not set,Not set,3,2,Not set,Not set,Not set,Not set,Not set,,Bahi Health Centre,50,Not set,Not set,hallotel,Not set,Not set,Not set
104942-8,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Lamp,Not set,Local community well,Not set,Not set
104943-6,1,1,1,Not set,Not set,Not set,Not set,33,1,1,Not set,Not set,1,public,public,Public Transport,16,No facility transport,Not set,Not set,Not set,Not set,Not set
104944-4,Not set,1,Not set,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,they call an ambulance from district hospital,40km,one ambulance for the whole district makes difficult to meet the need of the patients who need referal at the same time to different place/level,Not set,Not set,Not set,Not set,Not set
104945-1,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104946-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104948-5,1,1,Not set,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Not set,0,Private car,70km,Financial constraint,Not set,Not set,Used to fetch from the tube well,In good state,Open burning
111596-3,1,1,1,Not set,Not set,1,INCREASE DELIVERY BED,3,1,Not set,Not set,Not set,Not set,PUBLIC TRANSPORT,PUBLIC TRANSPORT,PUBLIC TRANSPORT,20KMS,POOR INFRASTRUCTURE,Not set,Not set,Not set,Not set,Not set
104949-3,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104950-1,1,Not set,1,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104951-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104952-7,Not set,1,1,Not set,Not set,1,Not set,1,2,Not set,Not set,Not set,Not set,Not set,,Car or Ambulance from nearest Health Centre,42km,Delay of transport due to poor infrastructure,Hurican Lamp,Not set,Not set,Not set,Not set
104953-5,1,2,Not set,1,Not set,Not set,Not set,5,1,Not set,Not set,Not set,1,Not set,,Ambulance from BUNAZI HC,3OKM,Road not passable during the rain seasondelay of ambulance,lamp,Not set,Not set,Not set,Not set
104954-3,Not set,1,1,Not set,Not set,1,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,,Ambulance from DMO office,40 Kms,Not set,Kerosene lamp,Not set,Not set,Not set,Not set
104955-0,1,2,1,3,Not set,Not set,Not set,18,2,Not set,1,Not set,2,Not set,,Ambulance,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104956-8,1,1,1,1,Not set,1,Needs more building to capture all services,11,3,Not set,Not set,Not set,Not set,Not set,,AMBULANCE,10KM,One ambulance to cover all health facility,Not set,HALOTEL,Not set,Not set,INCINERATOR NEEDED
104958-4,1,2,3,3,Not set,1,Not set,6,1,Not set,Not set,Not set,Not set,Not set,,AMBULANCE from the near health centre,30km,Not set,Not set,HALOTEL,Not set,Not set,Not set
104959-2,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from KItomanga HC,75km,Not set,Not set,Not set,Not set,Not set,Not set
111663-1,1,4,1,6,1,2,Good,16,1,1,Not set,1,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,outsorced
104962-6,6,12,1,28,Not set,Not set,Dressing and injection rooms are also used for other services,429,Not set,Not set,Not set,2,1,Grounded Scania,Grounded Scania,Not set,Not set,Not set,Not set,TTCL,Not set,Not set,Not set
104963-4,1,3,1,2,Not set,Not set,Vyumba ni vichahe kulingano na hadhi ya kituo,21,3,Not set,Not set,1,2,Not set,,Facility car,42kms,ukoesfu wa dieselubovu wa barabaragari kutokuwa kituoni muda wote.,Not set,Not set,Not set,Not set,Not set
104964-2,Not set,1,1,Not set,Not set,Not set,All rooms needs rehabilitation,1,Not set,Not set,Not set,Not set,Not set,public transport,public transport,Public transport,53km,Rough road,Not set,Not set,No other source of water,Toilet needs rehabilitation,Not set
109813-6,1,1,1,Not set,Not set,1,Not set,4,1,Not set,Not set,Not set,Not set,Not set,,No means of transport to the referal areaPrivate transport is the option used,13Kilometres,NO AMBULANCE FOR REFERAL,Not set,Not set,Not set,Not set,Not set
104966-7,1,Not set,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,1,Not set,,Ambulance from the district,78,Not set,Not set,Not set,Unprotected dug well,Not set,Not set
104936-0,1,1,1,1,Not set,1,Not set,2,1,Not set,Not set,Not set,1,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104968-3,Not set,1,1,Not set,Not set,Not set,Not set,3,Not set,Not set,Not set,Not set,Not set,None,None,Ambulance from DMOs Office,18 Km,Unreliable transport to reach referral point,Not set,Not set,Not set,Not set,Not set
104970-9,1,1,1,Not set,Not set,Not set,Not set,4,2,1,Not set,Not set,1,DMO OFFICE CAR,DMO OFFICE CAR,CAR,40,Delay to reach easlyto refferal point,Not set,Not set,Not set,Not set,Not set
104971-7,1,3,1,2,Not set,Not set,Not set,30,4,Not set,Not set,Not set,1,Not set,0,Ambulance from Misungwi Hosp,10KM,Not set,Not set,Not set,Not set,Not set,Not set
104972-5,Not set,1,1,Not set,Not set,Not set,Not set,4,1,1,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Lamp,Not set,Community bore hole,Not set,Not set
104974-1,1,2,1,3,Not set,1,Not set,20,2,1,1,Not set,1,Ambulance,Ambulance,Ambulance,130km,Rough road,Not set,Halotel,Not set,Not set,Not set
104975-8,1,1,1,1,Not set,Not set,Not set,5,6,Not set,Not set,Not set,Not set,bicycle,bicycle,Not set,Not set,Not set,Not set,Not set,unprotected well,Not set,Not set
112129-2,1,2,1,2,Not set,1,Good,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104976-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104977-4,1,1,1,Not set,Not set,1,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Halotel,Not set,Not set,Not set
104978-2,1,1,1,Not set,1,Not set,No ward room,5,2,Not set,Not set,Not set,Not set,Not set,,Private,13km,no ambulance services,Not set,Halotel,Not set,Not set,Not set
104979-0,Not set,1,1,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104981-6,1,3,1,1,Not set,Not set,Not set,12,2,Not set,Not set,Not set,Not set,Public/private car hosp ambulance,Public/private car hosp ambulance,publicprivate transport,12km,Not set,Not set,halotei,Not set,Not set,Not set
111403-2,1,1,1,1,Not set,1,Not set,1,2,Not set,Not set,Not set,Not set,Not set,0,Ambulances,15km,none,Not set,Not set,Not set,Not set,Not set
104983-2,Not set,1,1,Not set,Not set,Not set,Not set,Not set,2,Not set,Not set,Not set,Not set,DMO OFFICE CAR,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113121-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,They are going to dispose at singida region referral hospital
104984-0,1,1,1,Not set,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Public,10km,Transportation,Not set,Not set,Not set,Not set,Not set
110443-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104988-1,1,1,1,Not set,Not set,1,Udogo wa jengo(finyu),2,2,Not set,Not set,Not set,Not set,Not set,,Car or Ambulance from nearest Health Centre,31km,Delay of transport due to poor infrastructure,Hurican Lamp,Halotel,Unprotected dug well and season river,Not set,Not set
108453-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104990-7,3,7,1,5,Not set,Not set,Not set,120,5,Not set,2,3,7,Not set,0,AMBULANCE,45,FUEL/ VEHICLE BREAKDOWN,Not set,Not set,Not set,Not set,Not set
104992-3,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,kerosene,Not set,Not set,Not set
104991-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104993-1,Not set,1,1,Not set,Not set,1,-,1,1,1,Not set,Not set,Not set,Not set,0,Ambulance from DMOs Office,64KM,Delay to refferal hospital,Not set,TTCL,Not set,Not set,Not set
104994-9,Not set,1,1,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Lamp,Not set,Community well,Local toilet without slab,Not set
110450-4,Not set,1,Not set,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Private,Private,Not set,26kms,Not set,Not set,Haltel,private piped water,Not set,Not set
104995-6,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104996-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104997-2,Not set,1,1,Not set,Not set,Not set,one room for dressig/injec,4,2,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,no trans to refferal point,Not set,Not set,Not set,Not set,Not set
110862-0,1,1,1,2,Not set,1,1,4,Not set,Not set,Not set,Not set,Not set,Not set,0,PRIVET CAR,4 KLM,Not set,Not set,Not set,Not set,Not set,Not set
104998-0,Not set,1,Not set,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from DMO's office,Not set,Not set,Not set,Not set,Not set,Not set,Not set
104999-8,1,1,1,1,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Bicycle,Bicycle,AMBULANCE,28KM,Impassable road,kerosine lamp,Not set,unprotected dug wells.,Not set,Not set
105000-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105001-2,1,1,1,Not set,Not set,Not set,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105002-0,1,1,1,Not set,Not set,1,Shortage of rooms,2,2,5,Not set,Not set,Not set,Not set,,Nil,28,Not set,Solar light,Not set,Not set,Satisfactory,Not set
105004-6,1,2,1,8,Not set,1,need more room,18,1,1,Not set,Not set,Not set,ambulance,ambulance,ambulance,80km,lack of ambulance,Not set,Not set,Not set,Not set,Not set
105005-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105006-1,Not set,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105007-9,1,1,1,Not set,Not set,1,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,,Private car,Not set,Not set,Not set,Halotel,Not set,Not set,Not set
