Facility_ID,Type of Infrastructure,Value
103050-1,Source_of_Water,Rainwater Harvesting
108471-4,Source_of_Water,Public Tap or Standpipe
108471-4,Source_of_Water,Rainwater Harvesting
103051-9,Source_of_Water,Piped Water to Yard/Plot
103053-5,Source_of_Water,Other
103054-3,Source_of_Water,Piped Water into Health Facility
103055-0,Source_of_Water,Rainwater Harvesting
112227-4,Source_of_Water,Piped Water into Health Facility
103056-8,Source_of_Water,Piped Water into Health Facility
103057-6,Source_of_Water,Not set
103058-4,Source_of_Water,Not set
103059-2,Source_of_Water,Piped Water into Health Facility
103059-2,Source_of_Water,Rainwater Harvesting
103060-0,Source_of_Water,Rainwater Harvesting
111556-7,Source_of_Water,Not set
103061-8,Source_of_Water,Protected Dug Well
103062-6,Source_of_Water,Protected Dug Well
111164-0,Source_of_Water,Not set
103065-9,Source_of_Water,Piped Water to Yard/Plot
103064-2,Source_of_Water,Not set
103066-7,Source_of_Water,Not set
103067-5,Source_of_Water,Piped Water into Health Facility
103069-1,Source_of_Water,Not set
108588-5,Source_of_Water,Rainwater Harvesting
103070-9,Source_of_Water,Protected Spring
103070-9,Source_of_Water,Rainwater Harvesting
103072-5,Source_of_Water,Piped Water into Health Facility
103072-5,Source_of_Water,Rainwater Harvesting
103071-7,Source_of_Water,Piped Water into Health Facility
103126-9,Source_of_Water,Tube Well or Borehole
103073-3,Source_of_Water,Piped Water into Health Facility
103075-8,Source_of_Water,Piped Water to Yard/Plot
103077-4,Source_of_Water,Not set
103078-2,Source_of_Water,Not set
103079-0,Source_of_Water,Piped Water into Health Facility
103080-8,Source_of_Water,Tube Well or Borehole
103081-6,Source_of_Water,Piped Water into Health Facility
113655-5,Source_of_Water,Piped Water into Health Facility
103082-4,Source_of_Water,Not set
111057-6,Source_of_Water,Not set
103085-7,Source_of_Water,Piped Water into Health Facility
111079-0,Source_of_Water,Tube Well or Borehole
111079-0,Source_of_Water,Protected Dug Well
111079-0,Source_of_Water,Protected Spring
103086-5,Source_of_Water,Piped Water into Health Facility
103087-3,Source_of_Water,Rainwater Harvesting
103088-1,Source_of_Water,Piped Water to Yard/Plot
103090-7,Source_of_Water,Rainwater Harvesting
103089-9,Source_of_Water,Rainwater Harvesting
108626-3,Source_of_Water,Piped Water into Health Facility
108626-3,Source_of_Water,Tube Well or Borehole
110975-0,Source_of_Water,Tube Well or Borehole
110975-0,Source_of_Water,Rainwater Harvesting
103092-3,Source_of_Water,Tube Well or Borehole
103095-6,Source_of_Water,Protected Dug Well
103095-6,Source_of_Water,Rainwater Harvesting
108623-0,Source_of_Water,Piped Water into Health Facility
103097-2,Source_of_Water,Rainwater Harvesting
103098-0,Source_of_Water,Rainwater Harvesting
103099-8,Source_of_Water,Rainwater Harvesting
103100-4,Source_of_Water,Rainwater Harvesting
103102-0,Source_of_Water,Tube Well or Borehole
103101-2,Source_of_Water,Rainwater Harvesting
103103-8,Source_of_Water,Piped Water into Health Facility
103104-6,Source_of_Water,Rainwater Harvesting
103105-3,Source_of_Water,Rainwater Harvesting
112897-4,Source_of_Water,Tube Well or Borehole
103106-1,Source_of_Water,Rainwater Harvesting
103107-9,Source_of_Water,Not set
103110-3,Source_of_Water,Piped Water into Health Facility
103111-1,Source_of_Water,Tube Well or Borehole
103112-9,Source_of_Water,Protected Dug Well
111125-1,Source_of_Water,Public Tap or Standpipe
111125-1,Source_of_Water,Other
103113-7,Source_of_Water,Not set
111567-4,Source_of_Water,Not set
103115-2,Source_of_Water,Piped Water into Health Facility
103115-2,Source_of_Water,Piped Water to Yard/Plot
103116-0,Source_of_Water,Not set
103119-4,Source_of_Water,Protected Spring
103118-6,Source_of_Water,Piped Water to Yard/Plot
103121-0,Source_of_Water,Rainwater Harvesting
111861-1,Source_of_Water,Piped Water into Health Facility
110757-2,Source_of_Water,Not set
103123-6,Source_of_Water,Not set
103124-4,Source_of_Water,Piped Water into Health Facility
103125-1,Source_of_Water,Piped Water into Health Facility
103128-5,Source_of_Water,Piped Water to Yard/Plot
113654-8,Source_of_Water,Piped Water into Health Facility
103130-1,Source_of_Water,Not set
109536-3,Source_of_Water,Piped Water into Health Facility
103131-9,Source_of_Water,Rainwater Harvesting
106947-5,Source_of_Water,Public Tap or Standpipe
107338-6,Source_of_Water,Piped Water into Health Facility
110837-2,Source_of_Water,Not set
103133-5,Source_of_Water,Rainwater Harvesting
103134-3,Source_of_Water,Protected Dug Well
103135-0,Source_of_Water,Piped Water into Health Facility
103136-8,Source_of_Water,Rainwater Harvesting
108578-6,Source_of_Water,Public Tap or Standpipe
103138-4,Source_of_Water,Not set
103139-2,Source_of_Water,Not set
112004-7,Source_of_Water,Piped Water into Health Facility
103140-0,Source_of_Water,Piped Water to Yard/Plot
103141-8,Source_of_Water,Protected Dug Well
103142-6,Source_of_Water,Piped Water to Yard/Plot
103143-4,Source_of_Water,Tube Well or Borehole
103143-4,Source_of_Water,Protected Spring
103143-4,Source_of_Water,Rainwater Harvesting
103145-9,Source_of_Water,Not set
103146-7,Source_of_Water,Piped Water to Yard/Plot
103148-3,Source_of_Water,Not set
103149-1,Source_of_Water,Other
103150-9,Source_of_Water,Rainwater Harvesting
103151-7,Source_of_Water,Piped Water to Yard/Plot
103151-7,Source_of_Water,Rainwater Harvesting
103152-5,Source_of_Water,Tube Well or Borehole
103152-5,Source_of_Water,Protected Spring
113742-1,Source_of_Water,Piped Water into Health Facility
103155-8,Source_of_Water,Other
103153-3,Source_of_Water,Protected Dug Well
113884-1,Source_of_Water,Tube Well or Borehole
103154-1,Source_of_Water,Protected Dug Well
110782-0,Source_of_Water,Protected Dug Well
103157-4,Source_of_Water,Public Tap or Standpipe
103159-0,Source_of_Water,Rainwater Harvesting
103160-8,Source_of_Water,Not set
103161-6,Source_of_Water,Not set
103162-4,Source_of_Water,Not set
112249-8,Source_of_Water,Piped Water into Health Facility
109597-5,Source_of_Water,Piped Water into Health Facility
111972-6,Source_of_Water,Protected Dug Well
103164-0,Source_of_Water,Public Tap or Standpipe
103164-0,Source_of_Water,Rainwater Harvesting
103166-5,Source_of_Water,Rainwater Harvesting
110928-9,Source_of_Water,Piped Water into Health Facility
103167-3,Source_of_Water,Piped Water to Yard/Plot
103167-3,Source_of_Water,Rainwater Harvesting
100852-3,Source_of_Water,Not set
103168-1,Source_of_Water,Not set
112371-0,Source_of_Water,Other
103169-9,Source_of_Water,Piped Water to Yard/Plot
103170-7,Source_of_Water,Protected Dug Well
103171-5,Source_of_Water,Not set
103172-3,Source_of_Water,Protected Dug Well
103173-1,Source_of_Water,Not set
103174-9,Source_of_Water,Protected Dug Well
103175-6,Source_of_Water,Not set
107703-1,Source_of_Water,Piped Water into Health Facility
111058-4,Source_of_Water,Not set
103176-4,Source_of_Water,Not set
103178-0,Source_of_Water,Piped Water into Health Facility
103178-0,Source_of_Water,Rainwater Harvesting
103179-8,Source_of_Water,Rainwater Harvesting
103180-6,Source_of_Water,Public Tap or Standpipe
103181-4,Source_of_Water,Tube Well or Borehole
109593-4,Source_of_Water,Not set
111877-7,Source_of_Water,Piped Water to Yard/Plot
103182-2,Source_of_Water,Piped Water to Yard/Plot
103184-8,Source_of_Water,Rainwater Harvesting
103185-5,Source_of_Water,Rainwater Harvesting
103185-5,Source_of_Water,Other
103186-3,Source_of_Water,Piped Water into Health Facility
103186-3,Source_of_Water,Rainwater Harvesting
110032-0,Source_of_Water,Piped Water into Health Facility
110032-0,Source_of_Water,Rainwater Harvesting
108434-2,Source_of_Water,Piped Water into Health Facility
108434-2,Source_of_Water,Tube Well or Borehole
108434-2,Source_of_Water,Protected Dug Well
108434-2,Source_of_Water,Rainwater Harvesting
103189-7,Source_of_Water,Rainwater Harvesting
103190-5,Source_of_Water,Tube Well or Borehole
103190-5,Source_of_Water,Rainwater Harvesting
110519-6,Source_of_Water,Piped Water into Health Facility
111742-3,Source_of_Water,Not set
103192-1,Source_of_Water,Rainwater Harvesting
103193-9,Source_of_Water,Tube Well or Borehole
103194-7,Source_of_Water,Not set
109261-8,Source_of_Water,Public Tap or Standpipe
109261-8,Source_of_Water,Rainwater Harvesting
103198-8,Source_of_Water,Piped Water to Yard/Plot
103198-8,Source_of_Water,Protected Dug Well
103201-0,Source_of_Water,Protected Spring
103201-0,Source_of_Water,Rainwater Harvesting
103202-8,Source_of_Water,Protected Spring
109231-1,Source_of_Water,Other
103203-6,Source_of_Water,Protected Spring
103204-4,Source_of_Water,Piped Water into Health Facility
103205-1,Source_of_Water,Public Tap or Standpipe
111827-2,Source_of_Water,Not set
103206-9,Source_of_Water,Public Tap or Standpipe
103206-9,Source_of_Water,Rainwater Harvesting
103207-7,Source_of_Water,Piped Water into Health Facility
103208-5,Source_of_Water,Piped Water into Health Facility
103208-5,Source_of_Water,Protected Spring
103209-3,Source_of_Water,Piped Water into Health Facility
103210-1,Source_of_Water,Not set
111005-5,Source_of_Water,Piped Water into Health Facility
111005-5,Source_of_Water,Rainwater Harvesting
103211-9,Source_of_Water,Rainwater Harvesting
103212-7,Source_of_Water,Public Tap or Standpipe
103212-7,Source_of_Water,Rainwater Harvesting
103213-5,Source_of_Water,Rainwater Harvesting
103214-3,Source_of_Water,Public Tap or Standpipe
110409-0,Source_of_Water,Piped Water into Health Facility
110409-0,Source_of_Water,Piped Water to Yard/Plot
103216-8,Source_of_Water,Protected Dug Well
112313-2,Source_of_Water,Rainwater Harvesting
103218-4,Source_of_Water,Not set
110332-4,Source_of_Water,Tube Well or Borehole
103219-2,Source_of_Water,Rainwater Harvesting
103220-0,Source_of_Water,Piped Water into Health Facility
103220-0,Source_of_Water,Protected Spring
103221-8,Source_of_Water,Rainwater Harvesting
103222-6,Source_of_Water,Piped Water into Health Facility
103222-6,Source_of_Water,Other
103223-4,Source_of_Water,Rainwater Harvesting
103224-2,Source_of_Water,Protected Dug Well
103227-5,Source_of_Water,Piped Water into Health Facility
103228-3,Source_of_Water,Rainwater Harvesting
103229-1,Source_of_Water,Not set
103230-9,Source_of_Water,Not set
103231-7,Source_of_Water,Rainwater Harvesting
108809-5,Source_of_Water,Rainwater Harvesting
103232-5,Source_of_Water,Piped Water into Health Facility
103232-5,Source_of_Water,Rainwater Harvesting
103236-6,Source_of_Water,Piped Water to Yard/Plot
103234-1,Source_of_Water,Piped Water into Health Facility
103234-1,Source_of_Water,Rainwater Harvesting
103235-8,Source_of_Water,Piped Water into Health Facility
103237-4,Source_of_Water,Rainwater Harvesting
111677-1,Source_of_Water,Public Tap or Standpipe
103238-2,Source_of_Water,Other
103239-0,Source_of_Water,Piped Water into Health Facility
103241-6,Source_of_Water,Rainwater Harvesting
103242-4,Source_of_Water,Rainwater Harvesting
103244-0,Source_of_Water,Not set
103246-5,Source_of_Water,Rainwater Harvesting
103245-7,Source_of_Water,Tube Well or Borehole
103247-3,Source_of_Water,Public Tap or Standpipe
111188-9,Source_of_Water,Tube Well or Borehole
103248-1,Source_of_Water,Rainwater Harvesting
103250-7,Source_of_Water,Public Tap or Standpipe
103253-1,Source_of_Water,Tube Well or Borehole
103254-9,Source_of_Water,Not set
110916-4,Source_of_Water,Not set
103255-6,Source_of_Water,Not set
103256-4,Source_of_Water,Piped Water into Health Facility
100896-0,Source_of_Water,Piped Water into Health Facility
100896-0,Source_of_Water,Rainwater Harvesting
103257-2,Source_of_Water,Piped Water into Health Facility
103258-0,Source_of_Water,Not set
103259-8,Source_of_Water,Not set
103261-4,Source_of_Water,Piped Water into Health Facility
103262-2,Source_of_Water,Piped Water to Yard/Plot
103262-2,Source_of_Water,Rainwater Harvesting
110690-5,Source_of_Water,Piped Water into Health Facility
103264-8,Source_of_Water,Piped Water into Health Facility
113774-4,Source_of_Water,Public Tap or Standpipe
111867-8,Source_of_Water,Piped Water into Health Facility
111124-4,Source_of_Water,Piped Water into Health Facility
103268-9,Source_of_Water,Not set
110966-9,Source_of_Water,Not set
113639-9,Source_of_Water,Piped Water into Health Facility
113639-9,Source_of_Water,Tube Well or Borehole
103269-7,Source_of_Water,Not set
103270-5,Source_of_Water,Not set
111135-0,Source_of_Water,Rainwater Harvesting
103273-9,Source_of_Water,Not set
103272-1,Source_of_Water,Rainwater Harvesting
108472-2,Source_of_Water,Not set
103276-2,Source_of_Water,Piped Water into Health Facility
103277-0,Source_of_Water,Not set
103278-8,Source_of_Water,Rainwater Harvesting
103279-6,Source_of_Water,Piped Water to Yard/Plot
103280-4,Source_of_Water,Piped Water into Health Facility
103280-4,Source_of_Water,Protected Spring
103280-4,Source_of_Water,Rainwater Harvesting
103281-2,Source_of_Water,Other
103282-0,Source_of_Water,Not set
103283-8,Source_of_Water,Tube Well or Borehole
107070-5,Source_of_Water,Piped Water into Health Facility
107070-5,Source_of_Water,Tube Well or Borehole
107070-5,Source_of_Water,Protected Dug Well
112639-0,Source_of_Water,Not set
103284-6,Source_of_Water,Piped Water to Yard/Plot
103284-6,Source_of_Water,Rainwater Harvesting
103285-3,Source_of_Water,Not set
103286-1,Source_of_Water,Piped Water into Health Facility
103287-9,Source_of_Water,Tube Well or Borehole
103287-9,Source_of_Water,Rainwater Harvesting
103288-7,Source_of_Water,Tube Well or Borehole
103288-7,Source_of_Water,Protected Dug Well
103288-7,Source_of_Water,Rainwater Harvesting
103290-3,Source_of_Water,Rainwater Harvesting
103291-1,Source_of_Water,Piped Water to Yard/Plot
103292-9,Source_of_Water,Piped Water to Yard/Plot
110334-0,Source_of_Water,Rainwater Harvesting
103293-7,Source_of_Water,Piped Water to Yard/Plot
103294-5,Source_of_Water,Rainwater Harvesting
103296-0,Source_of_Water,Not set
103297-8,Source_of_Water,Not set
111576-5,Source_of_Water,Not set
103298-6,Source_of_Water,Piped Water into Health Facility
103298-6,Source_of_Water,Rainwater Harvesting
110429-8,Source_of_Water,Piped Water into Health Facility
103302-6,Source_of_Water,Piped Water into Health Facility
103302-6,Source_of_Water,Rainwater Harvesting
103303-4,Source_of_Water,Public Tap or Standpipe
103305-9,Source_of_Water,Piped Water into Health Facility
103305-9,Source_of_Water,Other
103306-7,Source_of_Water,Not set
110794-5,Source_of_Water,Piped Water into Health Facility
110794-5,Source_of_Water,Protected Dug Well
103304-2,Source_of_Water,Not set
108444-1,Source_of_Water,Piped Water into Health Facility
103309-1,Source_of_Water,Piped Water into Health Facility
103310-9,Source_of_Water,Not set
103311-7,Source_of_Water,Piped Water into Health Facility
103311-7,Source_of_Water,Rainwater Harvesting
107094-5,Source_of_Water,Protected Spring
107094-5,Source_of_Water,Rainwater Harvesting
103313-3,Source_of_Water,Tube Well or Borehole
103313-3,Source_of_Water,Rainwater Harvesting
103314-1,Source_of_Water,Rainwater Harvesting
109830-0,Source_of_Water,Piped Water into Health Facility
109264-2,Source_of_Water,Piped Water into Health Facility
109264-2,Source_of_Water,Tube Well or Borehole
103317-4,Source_of_Water,Piped Water into Health Facility
103318-2,Source_of_Water,Piped Water to Yard/Plot
103319-0,Source_of_Water,Tube Well or Borehole
108622-2,Source_of_Water,Piped Water into Health Facility
103320-8,Source_of_Water,Protected Dug Well
103320-8,Source_of_Water,Other
103321-6,Source_of_Water,Rainwater Harvesting
103322-4,Source_of_Water,Not set
111059-2,Source_of_Water,Not set
110796-0,Source_of_Water,Rainwater Harvesting
113193-7,Source_of_Water,Not set
113548-2,Source_of_Water,Piped Water into Health Facility
103327-3,Source_of_Water,Piped Water to Yard/Plot
103327-3,Source_of_Water,Rainwater Harvesting
112050-0,Source_of_Water,Other
111862-9,Source_of_Water,Other
103329-9,Source_of_Water,Not set
103330-7,Source_of_Water,Not set
111265-5,Source_of_Water,Protected Spring
111265-5,Source_of_Water,Rainwater Harvesting
103331-5,Source_of_Water,Not set
103332-3,Source_of_Water,Rainwater Harvesting
103333-1,Source_of_Water,Protected Spring
103333-1,Source_of_Water,Rainwater Harvesting
103334-9,Source_of_Water,Not set
103335-6,Source_of_Water,Public Tap or Standpipe
103336-4,Source_of_Water,Public Tap or Standpipe
110561-8,Source_of_Water,Tube Well or Borehole
103337-2,Source_of_Water,Not set
103339-8,Source_of_Water,Protected Dug Well
103339-8,Source_of_Water,Rainwater Harvesting
112598-8,Source_of_Water,Piped Water into Health Facility
112598-8,Source_of_Water,Rainwater Harvesting
103340-6,Source_of_Water,Rainwater Harvesting
103342-2,Source_of_Water,Not set
113479-0,Source_of_Water,Not set
103343-0,Source_of_Water,Not set
103344-8,Source_of_Water,Rainwater Harvesting
103345-5,Source_of_Water,Rainwater Harvesting
103347-1,Source_of_Water,Public Tap or Standpipe
110020-5,Source_of_Water,Piped Water into Health Facility
103349-7,Source_of_Water,Not set
103350-5,Source_of_Water,Rainwater Harvesting
103351-3,Source_of_Water,Rainwater Harvesting
103352-1,Source_of_Water,Rainwater Harvesting
103353-9,Source_of_Water,Protected Dug Well
103354-7,Source_of_Water,Rainwater Harvesting
103355-4,Source_of_Water,Piped Water to Yard/Plot
103357-0,Source_of_Water,Not set
103358-8,Source_of_Water,Piped Water into Health Facility
103358-8,Source_of_Water,Rainwater Harvesting
103359-6,Source_of_Water,Not set
103360-4,Source_of_Water,Protected Dug Well
103363-8,Source_of_Water,Piped Water to Yard/Plot
103364-6,Source_of_Water,Rainwater Harvesting
108445-8,Source_of_Water,Piped Water into Health Facility
108445-8,Source_of_Water,Rainwater Harvesting
103366-1,Source_of_Water,Rainwater Harvesting
103366-1,Source_of_Water,Other
103367-9,Source_of_Water,Piped Water into Health Facility
103369-5,Source_of_Water,Rainwater Harvesting
103370-3,Source_of_Water,Public Tap or Standpipe
103372-9,Source_of_Water,Piped Water to Yard/Plot
103373-7,Source_of_Water,Rainwater Harvesting
103375-2,Source_of_Water,Piped Water into Health Facility
103376-0,Source_of_Water,Piped Water to Yard/Plot
111081-6,Source_of_Water,Piped Water into Health Facility
103379-4,Source_of_Water,Rainwater Harvesting
103381-0,Source_of_Water,Public Tap or Standpipe
103380-2,Source_of_Water,Rainwater Harvesting
103382-8,Source_of_Water,Rainwater Harvesting
103383-6,Source_of_Water,Tube Well or Borehole
103383-6,Source_of_Water,Rainwater Harvesting
103385-1,Source_of_Water,Other
109095-0,Source_of_Water,Rainwater Harvesting
103384-4,Source_of_Water,Piped Water into Health Facility
103386-9,Source_of_Water,Rainwater Harvesting
103387-7,Source_of_Water,Protected Dug Well
103388-5,Source_of_Water,Piped Water to Yard/Plot
103389-3,Source_of_Water,Rainwater Harvesting
103389-3,Source_of_Water,Other
103390-1,Source_of_Water,Piped Water into Health Facility
103391-9,Source_of_Water,Piped Water to Yard/Plot
103392-7,Source_of_Water,Rainwater Harvesting
103393-5,Source_of_Water,Not set
103394-3,Source_of_Water,Not set
103395-0,Source_of_Water,Protected Dug Well
103395-0,Source_of_Water,Rainwater Harvesting
103396-8,Source_of_Water,Tube Well or Borehole
103396-8,Source_of_Water,Rainwater Harvesting
103397-6,Source_of_Water,Rainwater Harvesting
112716-6,Source_of_Water,Piped Water into Health Facility
103398-4,Source_of_Water,Rainwater Harvesting
103399-2,Source_of_Water,Protected Spring
103399-2,Source_of_Water,Rainwater Harvesting
103400-8,Source_of_Water,Not set
110355-5,Source_of_Water,Rainwater Harvesting
103401-6,Source_of_Water,Rainwater Harvesting
103402-4,Source_of_Water,Protected Spring
103403-2,Source_of_Water,Rainwater Harvesting
103405-7,Source_of_Water,Piped Water into Health Facility
103406-5,Source_of_Water,Piped Water to Yard/Plot
103407-3,Source_of_Water,Not set
103408-1,Source_of_Water,Not set
103409-9,Source_of_Water,Piped Water to Yard/Plot
103410-7,Source_of_Water,Rainwater Harvesting
103411-5,Source_of_Water,Public Tap or Standpipe
103412-3,Source_of_Water,Other
110878-6,Source_of_Water,Tube Well or Borehole
103415-6,Source_of_Water,Piped Water into Health Facility
103416-4,Source_of_Water,Rainwater Harvesting
109781-5,Source_of_Water,Not set
103417-2,Source_of_Water,Rainwater Harvesting
111055-0,Source_of_Water,Piped Water to Yard/Plot
103418-0,Source_of_Water,Piped Water into Health Facility
103419-8,Source_of_Water,Piped Water into Health Facility
103420-6,Source_of_Water,Not set
103421-4,Source_of_Water,Rainwater Harvesting
109395-4,Source_of_Water,Rainwater Harvesting
103422-2,Source_of_Water,Rainwater Harvesting
103423-0,Source_of_Water,Rainwater Harvesting
103424-8,Source_of_Water,Rainwater Harvesting
112994-9,Source_of_Water,Piped Water to Yard/Plot
103427-1,Source_of_Water,Piped Water into Health Facility
103427-1,Source_of_Water,Rainwater Harvesting
103428-9,Source_of_Water,Rainwater Harvesting
103429-7,Source_of_Water,Piped Water to Yard/Plot
103430-5,Source_of_Water,Piped Water into Health Facility
103430-5,Source_of_Water,Tube Well or Borehole
103430-5,Source_of_Water,Rainwater Harvesting
103431-3,Source_of_Water,Rainwater Harvesting
109721-1,Source_of_Water,Piped Water to Yard/Plot
109721-1,Source_of_Water,Rainwater Harvesting
108470-6,Source_of_Water,Public Tap or Standpipe
103433-9,Source_of_Water,Rainwater Harvesting
103434-7,Source_of_Water,Piped Water to Yard/Plot
103435-4,Source_of_Water,Rainwater Harvesting
103436-2,Source_of_Water,Not set
103438-8,Source_of_Water,Rainwater Harvesting
103441-2,Source_of_Water,Piped Water to Yard/Plot
103442-0,Source_of_Water,Not set
103444-6,Source_of_Water,Rainwater Harvesting
103445-3,Source_of_Water,Public Tap or Standpipe
103445-3,Source_of_Water,Rainwater Harvesting
103447-9,Source_of_Water,Public Tap or Standpipe
103446-1,Source_of_Water,Public Tap or Standpipe
103448-7,Source_of_Water,Rainwater Harvesting
103449-5,Source_of_Water,Public Tap or Standpipe
108780-8,Source_of_Water,Not set
103450-3,Source_of_Water,Protected Dug Well
103450-3,Source_of_Water,Rainwater Harvesting
108898-8,Source_of_Water,Not set
103451-1,Source_of_Water,Tube Well or Borehole
112937-8,Source_of_Water,Piped Water into Health Facility
108245-2,Source_of_Water,Protected Dug Well
108245-2,Source_of_Water,Rainwater Harvesting
103452-9,Source_of_Water,Protected Dug Well
103452-9,Source_of_Water,Rainwater Harvesting
103453-7,Source_of_Water,Rainwater Harvesting
109331-9,Source_of_Water,Rainwater Harvesting
103454-5,Source_of_Water,Piped Water to Yard/Plot
110379-5,Source_of_Water,Not set
103455-2,Source_of_Water,Rainwater Harvesting
110994-1,Source_of_Water,Piped Water into Health Facility
103456-0,Source_of_Water,Piped Water into Health Facility
103456-0,Source_of_Water,Rainwater Harvesting
103456-0,Source_of_Water,Other
112102-9,Source_of_Water,Rainwater Harvesting
103458-6,Source_of_Water,Piped Water to Yard/Plot
103457-8,Source_of_Water,Piped Water into Health Facility
103459-4,Source_of_Water,Not set
112781-0,Source_of_Water,Piped Water into Health Facility
112000-5,Source_of_Water,Piped Water into Health Facility
113426-1,Source_of_Water,Piped Water into Health Facility
103460-2,Source_of_Water,Protected Spring
103461-0,Source_of_Water,Not set
103462-8,Source_of_Water,Piped Water to Yard/Plot
103463-6,Source_of_Water,Rainwater Harvesting
112836-2,Source_of_Water,Piped Water into Health Facility
112437-9,Source_of_Water,Piped Water into Health Facility
103443-8,Source_of_Water,Not set
113685-2,Source_of_Water,Piped Water into Health Facility
110715-0,Source_of_Water,Piped Water to Yard/Plot
103465-1,Source_of_Water,Not set
111159-0,Source_of_Water,Not set
109443-2,Source_of_Water,Public Tap or Standpipe
110915-6,Source_of_Water,Piped Water into Health Facility
103467-7,Source_of_Water,Public Tap or Standpipe
103469-3,Source_of_Water,Piped Water to Yard/Plot
103469-3,Source_of_Water,Rainwater Harvesting
103470-1,Source_of_Water,Piped Water into Health Facility
113261-2,Source_of_Water,Piped Water into Health Facility
103471-9,Source_of_Water,Public Tap or Standpipe
113513-6,Source_of_Water,Piped Water into Health Facility
103472-7,Source_of_Water,Protected Dug Well
103472-7,Source_of_Water,Rainwater Harvesting
103473-5,Source_of_Water,Public Tap or Standpipe
103476-8,Source_of_Water,Not set
103474-3,Source_of_Water,Piped Water into Health Facility
103475-0,Source_of_Water,Not set
112196-1,Source_of_Water,Rainwater Harvesting
113576-3,Source_of_Water,Not set
103477-6,Source_of_Water,Rainwater Harvesting
110706-9,Source_of_Water,Public Tap or Standpipe
103478-4,Source_of_Water,Piped Water to Yard/Plot
103478-4,Source_of_Water,Rainwater Harvesting
103479-2,Source_of_Water,Rainwater Harvesting
103468-5,Source_of_Water,Rainwater Harvesting
103481-8,Source_of_Water,Rainwater Harvesting
111566-6,Source_of_Water,Rainwater Harvesting
103482-6,Source_of_Water,Public Tap or Standpipe
103482-6,Source_of_Water,Rainwater Harvesting
111669-8,Source_of_Water,Piped Water into Health Facility
103483-4,Source_of_Water,Rainwater Harvesting
103484-2,Source_of_Water,Public Tap or Standpipe
103486-7,Source_of_Water,Protected Spring
111229-1,Source_of_Water,Not set
103487-5,Source_of_Water,Public Tap or Standpipe
103488-3,Source_of_Water,Rainwater Harvesting
111450-3,Source_of_Water,Piped Water to Yard/Plot
103489-1,Source_of_Water,Piped Water into Health Facility
103489-1,Source_of_Water,Piped Water to Yard/Plot
103490-9,Source_of_Water,Not set
103491-7,Source_of_Water,Rainwater Harvesting
103493-3,Source_of_Water,Piped Water into Health Facility
110247-4,Source_of_Water,Rainwater Harvesting
103495-8,Source_of_Water,Protected Dug Well
103495-8,Source_of_Water,Rainwater Harvesting
110027-0,Source_of_Water,Piped Water into Health Facility
111313-3,Source_of_Water,Piped Water into Health Facility
111313-3,Source_of_Water,Rainwater Harvesting
103496-6,Source_of_Water,Piped Water into Health Facility
103497-4,Source_of_Water,Piped Water into Health Facility
103498-2,Source_of_Water,Public Tap or Standpipe
103499-0,Source_of_Water,Other
103500-5,Source_of_Water,Tube Well or Borehole
103501-3,Source_of_Water,Rainwater Harvesting
113071-5,Source_of_Water,Not set
103502-1,Source_of_Water,Tube Well or Borehole
103503-9,Source_of_Water,Piped Water into Health Facility
103503-9,Source_of_Water,Piped Water to Yard/Plot
103503-9,Source_of_Water,Tube Well or Borehole
103503-9,Source_of_Water,Protected Dug Well
103503-9,Source_of_Water,Rainwater Harvesting
111697-9,Source_of_Water,Piped Water into Health Facility
103504-7,Source_of_Water,Piped Water to Yard/Plot
103505-4,Source_of_Water,Piped Water into Health Facility
103505-4,Source_of_Water,Protected Dug Well
103506-2,Source_of_Water,Other
103507-0,Source_of_Water,Piped Water into Health Facility
103507-0,Source_of_Water,Rainwater Harvesting
103508-8,Source_of_Water,Protected Spring
103509-6,Source_of_Water,Not set
103510-4,Source_of_Water,Not set
103512-0,Source_of_Water,Rainwater Harvesting
103511-2,Source_of_Water,Protected Dug Well
103511-2,Source_of_Water,Rainwater Harvesting
103513-8,Source_of_Water,Not set
103514-6,Source_of_Water,Rainwater Harvesting
103515-3,Source_of_Water,Rainwater Harvesting
103516-1,Source_of_Water,Piped Water into Health Facility
103516-1,Source_of_Water,Rainwater Harvesting
103517-9,Source_of_Water,Rainwater Harvesting
103518-7,Source_of_Water,Protected Dug Well
103518-7,Source_of_Water,Rainwater Harvesting
103519-5,Source_of_Water,Protected Dug Well
103521-1,Source_of_Water,Protected Dug Well
108857-4,Source_of_Water,Piped Water into Health Facility
108857-4,Source_of_Water,Tube Well or Borehole
108857-4,Source_of_Water,Rainwater Harvesting
109232-9,Source_of_Water,Protected Dug Well
103523-7,Source_of_Water,Protected Spring
103524-5,Source_of_Water,Rainwater Harvesting
111906-4,Source_of_Water,Tube Well or Borehole
110893-5,Source_of_Water,Not set
110810-9,Source_of_Water,Other
110294-6,Source_of_Water,Public Tap or Standpipe
103527-8,Source_of_Water,Public Tap or Standpipe
103529-4,Source_of_Water,Piped Water into Health Facility
109768-2,Source_of_Water,Not set
103530-2,Source_of_Water,Public Tap or Standpipe
103531-0,Source_of_Water,Protected Dug Well
103532-8,Source_of_Water,Rainwater Harvesting
103533-6,Source_of_Water,Not set
103534-4,Source_of_Water,Rainwater Harvesting
109226-1,Source_of_Water,Not set
