Facility_ID,Facility Name,Ward,Village/Street,Facility Type,Operating Status,Ownership,Latitude,Longitude,Facility_Zone,Facility_Region,Facility_District,Facility_Council,Facility_Location,Common_Facility_Name,Registration_ID,CTC_ID,MTUHA_Code,MSD_ID,Facility_Type,Facility_Ownership,Facility_Operating_Status,Facility_Registration_Status,Location_Description,Waypoint_Number,Altitude(Meters),Service_Areas(Villages),Catchment_Population,Date_Opened/Inaugurated/Upgraded,Year,Postal_Address,Postal_Code,Official_Phone_#,Official_Fax_#,Official_Email,Facility_In-Charge_Name,Facility_In-Charge_Cadre,Website
102256-5,Kaloleni,Magengati,Kaloleni,Dispensary,Operating,Public - LGA,-4.800522,33.033178,Western Zone,Tabora,Nzega,Nzega DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,Not set,Not set,KALOLENI ILELAMILA,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
102257-3,Kaloleni,Kaloleni,Kaloleni,Dispensary,Operating,Public - LGA,-3.37162,37.3443,Northern Zone,Kilimanjaro,Moshi,Moshi MC,CCBRT,Kaloleni,Not set,Not set,36,Not set,Dispensary,Public - LGA,Operating,Not Registered,CCBRT,Kaloleni,785,"Kaloleni, kalimani",35,09 01 2014,2014,P.O.BOX 318 MOSHI,Not set,272752344,2.55027E+12,director.moshi@gmail.com,Hilda Kimaro,Clinical Officer,Not set
102258-1,Kaloleni,Kaloleni,Kaloleni Mashariki,Health Center,Operating,Public - LGA,-3.369322,36.688577,Northern Zone,Arusha,Arusha,Arusha CC,Near by Agakhan Health Centre,KALOLENI HC,Not set,02-03-0104,Not set,Not set,Health Center,Public - LGA,Operating,Registered,Near by Agakhan Health Centre,KALOLENI UHC,1398,"KALOLENI, KATI WARDS",21123,01 07 1961,1961,3013,255,73 297 936,Not set,Not set,DR ANNA SIMON KIMARO,Assistant Medical Officer,Not set
102259-9,Kalulu,Kalulu,Rahaleo,Dispensary,Operating,Public - LGA,-10.60361,36.82175,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Not set,Kalulu,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Not set,Not set,Kalulu Dispensary,797,1,3683,Not set,Not set,Box 44 Tunduru,Not set,Not set,Not set,Not set,SIKUJUA ABDU,M/Att,Not set
102260-7,Kalumbaleza,Muze,Kalumbaleza,Dispensary,Operating,Public - LGA,-7.62137,31.5067,Southern Highlands Zone,Rukwa,Sumbawanga,Sumbawanga DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
102262-3,Kalunde,Kalunde,Kalunde,Dispensary,Operating,Public - LGA,-4.97291,32.69661,Western Zone,Tabora,Tabora,Tabora MC,Not set,Kalunde,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,Not set,Not set,Not set,4890,Not set,Not set,P.O Box 174,Not set,Not set,Not set,Not set,Juma Faru,Clinical officer,Not set
102263-1,Kalundwa,Kinole,Kalundwa,Dispensary,Operating,Public - LGA,-6.92776,37.78272,Eastern Zone,Morogoro,Morogoro,Morogoro DC,Not set,Kalundwa dispendary,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,96,460,Kalundwa,2068,16 02 2001,2001,"1862,Morogoro",Not set,Not set,Not set,Not set,Perpetua Momeye,Clinical Officer,Not set
102265-6,Kalungu,Litapunga,Kalungu,Dispensary,Operating,Public - LGA,-6.18307,31.19062,Southern Highlands Zone,Katavi,Mlele,Nsimbo DC,Not set,Kalungu,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,Kalungu Dispensary,1160,"Iwimbi, Kalungu",4551,08 12 1977,1977,688 NSIMBO,Not set,Not set,Not set,Not set,Zahoro Omary,Registered Nurse,Not set
102267-2,Kalya,Kalya,Kalya,Dispensary,Operating,Public - LGA,-6.47149,30.0092,Western Zone,Kigoma,Uvinza,Uvinza DC,Not set,Kalya,Not set,Not set,Not set,D34483,Dispensary,Public - LGA,Operating,Registered,Not set,Not set,Not set,Not set,Not set,13 10 2016,2016,UVINZA,12,715423683,Not set,Not set,Hamis Mwirangi,Medical Officer,Not set
102268-0,KAM,Ilala,Shariff Shamba,Dispensary,Operating,Private - For Profit,-6.82753,39.25847,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Karibu na Hospital ya Amana,KAM,72346,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Registered,Karibu na Hospital ya Amana,3m,42,"Ilala, Karume, Kasulu",12052,01 06 2004,2004,Box 65158 DSM,Not set,713615663,Not set,Not set,Kandole Msika,Medical Doctor,Not set
110677-2,KAM Collage,Kimara,Kimara baruti,Dispensary,Closed,Private - For Profit,-6.782405,39.177696,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Near KAM Collage Kimara,KAM Collage,71413,Not set,Not set,Not set,Dispensary,Private - For Profit,Closed,Registered,Near KAM Collage Kimara,127,126,"Matangini,Saranga, Upendo",104127,07 03 2013,2,Not set,Not set,Not set,Not set,Not set,Telesphory Kaneno,Assistant Medical Officer,Not set
110678-0,KAM Magomeni,Makurumla,Kimamba,Dispensary,Closed,Private - For Profit,-6.807166,39.252896,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Along Morogoro road near DCB HQ,KAM Magomeni,Not set,Not set,Not set,Not set,Dispensary,Private - For Profit,Closed,Not set,Along Morogoro road near DCB HQ,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
109889-6,KAM MED,Kati,Bondeni,Dispensary,Operating,Private - For Profit,-3.371823,36.688066,Northern Zone,Arusha,Arusha,Arusha CC,Not set,Not set,23025,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Dr Peter Mhando,Medical Doctor,Not set
102269-8,KAM Med,Themi,Old Police line,Health Center,Operating,Private - For Profit,-3.378285,36.696048,Northern Zone,Arusha,Arusha,Arusha CC,Not set,Not set,Not set,02-03-0102,Not set,Not set,Health Center,Private - For Profit,Operating,Registered,Not set,Not set,1390,"Themi,Sinon",Not set,05 06 2012,2012,P.O.Box 6043 Arusha,Not set,Not set,Not set,Kammedhealthcentre@gmail.com,Peter A Mhando,Physician,Not set
110931-3,KAM Mwananyamala,Makumbusho,Minazini,Dispensary,Operating,Private - For Profit,-6.788343,39.253181,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Opposite Mwananyamala hospital,KAM Lab,Not set,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Registered,Opposite Mwananyamala hospital,49,21,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
102270-6,Kamachumu,Kamachumu,Kamachumu,Health Center,Operating,Public - LGA,-1.62696,31.61398,Lake Zone,Kagera,Muleba,Muleba DC,Not set,Kamachumu Health centre,Not set,18-03-0101,Not set,MZ510047,Health Center,Public - LGA,Operating,Registered,Not set,11,1486,4,Not set,Not set,1984,P.O. BOX 10,Not set,+255 28 2224013,+255 28 2224168,ded@mulebadc.go.tz,Lightness Charles,Clinical officer,Not set
102271-4,Kamagambo,Kiruruma,Kamagambo,Dispensary,Operating,Public - LGA,-1.60774,30.93779,Lake Zone,Kagera,Karagwe,Karagwe DC,Near kamagambo p\school,Kamagambo,Not set,18-01-0120,Not set,520441,Dispensary,Public - LGA,Operating,Registered,Near kamagambo p\school,Kamagambo,1390,"Kiruruma,Rwabwere",Not set,02 11 1983,2011,BOX 145 KARAGWE,Not set,Not set,Not set,Not set,BENARD MASAVE,ACO,Not set
102272-2,Kamalendi,Ukondamoyo,Kamalendi,Dispensary,Operating,Public - LGA,-5.17193,31.90223,Western Zone,Tabora,Urambo,Urambo DC,Nearby Kamalendi primaryschool,Kamalendi,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Nearby Kamalendi primaryschool,Kamalendi,Not set,"kamalendi, ifuta,",Not set,03 03 2009,2009,Not set,2,Not set,Not set,Not set,Happiphania Ikamika,e,Not set
112060-9,Kamanga,Nyamatongo,Kamanga,Health Center,Operating,Public - LGA,-2.5354,32.83826,Lake Zone,Mwanza,Sengerema,Sengerema DC,LAKE SHORE,KAMANGA,Not set,Not set,Not set,Not set,Health Center,Public - LGA,Operating,Not Registered,LAKE SHORE,Not set,5,Kamanga,4769,25 01 2017,2017,175,Not set,282590162,282590249,ded@sengeremadc.go.tz,Godfrey P. Silayo,MEDICAL DOCTOR,Not set
109541-3,Kamanga,Butimba,Nyaburogoya,Hospital - Hospital at Zonal Level,Operating,Private - For Profit,-2.59272,32.92379,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Along Nyegezi terminal bus stand,Kamanga Medics,193251,Not set,Not set,Not set,Hospital - Hospital at Zonal Level,Private - For Profit,Operating,Registered,Along Nyegezi terminal bus stand,Kamanga Medics,1208,Not set,Not set,Not set,Not set,Box 5228,Not set,2.55283E+11,Not set,kamangamedics@gmail.com,Dr. Rodrick Kabangila,medical Doctor,Not set
102274-8,Kamara,Mungonya,Kamara,Dispensary,Operating,Public - LGA,-4.85109,29.7378,Western Zone,Kigoma,Kigoma,Kigoma DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Not set,Not set,Not set,Not set,Kamara,Not set,Not set,Not set,P.o box 555 Kigoma,Not set,Not set,Not set,Not set,Severino Mbega,Clinical officer,Not set
102275-5,Kamasi,Ilangala,Kamasi,Dispensary,Operating,Public - LGA,-1.86272,32.8535,Lake Zone,Mwanza,Ukerewe,Ukerewe DC,Not set,Kamasi,Not set,19-01-0105,191021,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,Kamasi,1175,Kamasi,7691,11 07 1965,1965,Box 55,Not set,Not set,Not set,Not set,Mwera Protas,Clinical Assistant,Not set
102276-3,Kamata,Kitunda,Mwenge,Dispensary,Operating,Private - Faith based organization (FBO),-6.853519,33.223454,Western Zone,Tabora,Sikonge,Sikonge DC,Near Primary school,Kamata,146005,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Operating,Registered,Near Primary school,Kamata,1203,Mwenge,3245,12 05 1980,38,91,Not set,Not set,Not set,Not set,Enos Nzungu,Clinical Assistant,Not set
102277-1,Kamawe,Sopa,Kamawe,Dispensary,Operating,Public - LGA,-8.57049,31.59895,Southern Highlands Zone,Rukwa,Kalambo,Kalambo DC,Not set,Kamawe,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Not Registered,Not set,292,1813,kamawe,Not set,30 08 2010,2009,S.L.P 3 Kalambo,23,Not set,Not set,Not set,Ester Kalist,Register Nurse,Not set
102278-9,Kambai,Zirai,Kambai,Dispensary,Operating,Public - LGA,-4.9822,38.70577,Northern Zone,Tanga,Muheza,Muheza DC,Kambai,Kambai,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Kambai,3m,174,"kambai,kwatango",Not set,Not set,Not set,BOX 51,Not set,Not set,Not set,Not set,Philimoni Mmbaga,CO,Not set
102279-7,Kambala,Hembeti,Kambala,Dispensary,Operating,Public - LGA,-6.318,37.583,Eastern Zone,Morogoro,Mvomero,Mvomero DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105906-2,Kambangwa,Mwananyamala,Kambangwa,Dispensary,Operating,Public - LGA,-6.78858,39.25442,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Adjacent to Mwananyamala Hospital,Kambangwa,Not set,Not set,71037,Not set,Dispensary,Public - LGA,Operating,Registered,Adjacent to Mwananyamala Hospital,249,29,"Msisiri ‘B’ Bwawani, Kambangwa",50560,13 06 2010,2010,P O BOX 61665 Dar es salaam,Not set,Not set,Not set,Not set,Jemetrida Nyuki,Clinical Officer,Not set
102281-3,Kambarage Health Center,Kambarage,Kambarage,Health Center,Operating,Public - LGA,-3.66048,33.41391,Western Zone,Shinyanga,Shinyanga,Shinyanga MC,Kambarange stedum to Karena Hotel,kambarage H/C,102281-3,17-05-0105,17-05-019,MZ520443,Health Center,Public - LGA,Operating,Registered,Kambarange stedum to Karena Hotel,Not set,1133,"ndala,maseseko,kambarage",7196,14 09 2010,2012,28,28,Not set,Not set,Not set,DR DARISON ANDREW,Medical officer,Not set
102282-1,Kambarage-Police,Kambarage,Jomu,Dispensary,Operating,Public - Military,-3.66102,33.41862,Western Zone,Shinyanga,Shinyanga,Shinyanga MC,Kambarage Police,Police,102282,17-05-0108,170503,MZ521226,Dispensary,Public - Military,Operating,Registered,Kambarage Police,16,1129,Jomu,6530,01 07 1975,1975,26,Not set,Not set,Not set,Not set,Bibititi Mohamed,assiastance medical officer,Not set
102283-9,KambaSegela,Kambasegela,Kambasegera,Dispensary,Operating,Public - LGA,-9.3952,33.8175,Southern Highlands Zone,Mbeya,Rungwe,Busokelo DC,Not set,Kambasegela,124008,Not set,8,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,Not set,Not set,3,Not set,Not set,1954,"Box 2, Tukuyu",Not set,0624-057502,Not set,lwangwabusokelo@gmail.com,Fabiola Mkonga,Nurse Midwife,Not set
110807-5,Kambi ya chokaa,Naisinyai,Kambi ya chokaa,Dispensary,Operating,Public - LGA,-3.4755,37.18903,Northern Zone,Manyara,Simanjiro,Simanjiro DC,Not set,Nomeut,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,ENOKI SALANGA,CLINICAL,Not set
102286-2,Kambi ya Simba,Mbulumbulu,Kambi ya Simba,Health Center,Operating,Public - LGA,-3.277992,35.801515,Northern Zone,Arusha,Karatu,Karatu DC,Not set,Kambi ya Simba,Not set,Not set,Not set,Not set,Health Center,Public - LGA,Operating,Not Registered,Not set,Kambi ya Simba,1567,Kambi ya Simba,4718,Not set,1974,box 271,Not set,Not set,Not set,Not set,Adyaeli Wilson,Clinical Officer,Not set
102287-0,Kambi ya Simba,Jipe,Kambi ya Simba,Dispensary,Operating,Public - LGA,-3.594476,37.70814,Northern Zone,Kilimanjaro,Mwanga,Mwanga DC,Kambi ya simba primary school,Kambi ya Simba,Not set,Not set,Not set,MS 520125,Dispensary,Public - LGA,Operating,Registered,Kambi ya simba primary school,Kambi ya simba,752,Kambi ya simba,112,08 04 1987,1987,P. O Box 18 Mwanga,Not set,Not set,Not set,Not set,Andrew Msechu,Assistance Clinical Officer,Not set
102288-8,Kambikatoto,Kambikatoto,Kambikatoto,Dispensary,Operating,Public - LGA,-7.14417,33.4882,Southern Highlands Zone,Mbeya,Chunya,Chunya DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
102289-6,Kambo,Kilesha,Kambo,Dispensary,Operating,Public - LGA,-8.47923,31.72767,Southern Highlands Zone,Rukwa,Kalambo,Kalambo DC,Not set,Kambo Dispensary,Not set,Not set,13,D34199,Dispensary,Public - LGA,Operating,Not Registered,Not set,277,1802,kambo,Not set,12 04 2005,2005,S.L.P 3 Kalambo,23,Not set,Not set,Not set,Simon Mjema,Co,Not set
109202-2,Kambuzi,Litapunga,Kambuzi Halt,Dispensary,Operating,Public - LGA,-6.05102,31.09518,Southern Highlands Zone,Katavi,Mlele,Nsimbo DC,Kambuzi village,Kambuzi,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Kambuzi village,Not set,1135,"Kambuzi halt ,Litapunga, Lukama",Not set,15 02 2014,2014,Box 688 Nsimbo,Not set,Not set,Not set,Not set,Neema Kashilila,Enrolled Nurse,Not set
102291-2,Kaminula,Litapunga,Kaminula,Dispensary,Operating,Public - LGA,-6.15346,31.16321,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112413-0,Kamjela,Mishamo,Kamjela,Dispensary,Operating,Public - LGA,-5.74673,30.56616,Southern Highlands Zone,Katavi,Mpanda,Mpanda DC,Kamjela Village,Kamjela Dispensary,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Not Registered,Kamjela Village,24,1471,Kamjela village,9088,01 11 2018,2018,Box 1 Mpanda,255,025-2820068,025-2820068,afyampanda@gmail.com,Credo matofari,Assistant Clinical Officer,Not set
102293-8,Kamnyazya,Lusaka,Kamnyazya,Dispensary,Operating,Public - LGA,-8.485531,32.084525,Southern Highlands Zone,Rukwa,Sumbawanga,Sumbawanga DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,Not set,1776,Kamnyazya,3937,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Ndely Sukari,M/ATT,Not set
106702-4,Kamnyonge SDA,Kamunyonge,Majita Road,Dispensary,Operating,Private - Faith based organization (FBO),-1.511366,33.792649,Lake Zone,Mara,Musoma,Musoma MC,Majita Road,Kamunyonge SDA,205003,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Operating,Registered,Majita Road,Kamunyonge,1169,Majita road and Biafra,14132,13 06 1990,1990,Box 2097,Not set,684665320,Not set,Not set,Esther Khanga,Clinical Officer,Not set
102294-6,Kamsamba,Kamsamba,Kamsamba,Health Center,Operating,Public - LGA,-8.35759,32.2943,Southern Highlands Zone,Songwe,Momba,Momba DC,-8.35744732.294525,kamsamba,Not set,Not set,Not set,Not set,Health Center,Public - LGA,Operating,Registered,-8.35744732.294525,Kamsamba,846,"Kamsamba,usoche",17055,12 07 2004,2004,"P.o.box 273,Momba",Not set,Not set,Not set,Not set,Ambwene Msemwa,Assistant Medical Officer,Not set
102295-3,Kamsekwa,Urambo,Urambo Magharibi,Dispensary,Operating,Public - LGA,-5.06803,32.06374,Western Zone,Tabora,Urambo,Urambo DC,Nearby ATTT Godown,Kamsekwa,Not set,Not set,3,Not set,Dispensary,Public - LGA,Operating,Registered,Nearby ATTT Godown,Kamsekwa,1097,"Kamsekwa, Majengo kati,Majengo ya Kaliua,Urambo mjini",Not set,25 05 1982,1982,2,Not set,Not set,Not set,Not set,Yhana Lusato,Clinical officer,Not set
113144-0,Kamsisi,Inyonga,Kamsisi,Dispensary,Pending Operation - Construction Complete,Public - LGA,-6.647414,32.114138,Southern Highlands Zone,Katavi,Mlele,Mlele DC,Not set,Kamsisi,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Pending Operation - Construction Complete,Not Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,686,Not set,Not set,Not set,Not set,Not set,Not set,Not set
102297-9,Kamugegi,Kamugegi,Kamugegi,Dispensary,Operating,Public - LGA,-1.73528,33.79443,Lake Zone,Mara,Butiama,Butiama DC,Not set,Not set,Not set,Not set,Not set,MZ520444,Dispensary,Public - LGA,Operating,Registered,Not set,Not set,1248,"Kamugegi,Kyatungwe",Not set,15 03 2006,2006,P.O.Box 1207 Butiama,Not set,783 885 498,Not set,Not set,Herny Msusa,Clinical Officer,Not set
102290-4,Kamugendi,Bwiregi,Kamgendi,Dispensary,Operating,Public - LGA,-1.64677,34.07882,Lake Zone,Mara,Butiama,Butiama DC,Not set,Kamugendi,Not set,Not set,Not set,MZ520445,Dispensary,Public - LGA,Operating,Registered,Not set,Not set,1185,Kamugendi,2500,01 05 2005,2005,P.O.Box 1207 Butiama,Not set,Not set,Not set,Not set,Eliasante Msole,Enllored Nurse,Not set
102298-7,Kamuli,Kamuli,Kamuli,Health Center,Operating,Public - LGA,-1.29292,30.85323,Lake Zone,Kagera,Kyerwa,Kyerwa DC,R.C Church Kamuli,Kamuli,35730,Not set,Not set,Not set,Health Center,Public - LGA,Operating,Registered,R.C Church Kamuli,3M,1778,Kamuli village,11123,04 07 2009,2009,P.O.Box 72 Kyerwa,Not set,787283309,Not set,Not set,Selestine Masaru,Assistant medical officer,Not set
102299-5,Kamwanga,Kamwanga,Kamwanga,Dispensary,Operating,Public - LGA,-2.87804,37.36434,Northern Zone,Arusha,Longido,Longido DC,police station office,kamwanga,Not set,02-06-0301,Not set,MS520127,Dispensary,Public - LGA,Operating,Registered,police station office,kamwanga,1842,Not set,Not set,Not set,Not set,12,Not set,Not set,Not set,Not set,martha mkuki,clinical officer,Not set
111489-1,Kanaan land,Kimandolu,Kityangari,Dispensary,Operating,Private - For Profit,-3.405768,36.644791,Northern Zone,Arusha,Arusha,Arusha CC,Not set,KANAAN DISP.,23248,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Registered,Not set,Canaan Land Dispensary,1376,"Bondeni,Kati,Mashariki",3000,24 10 2016,2016,P.O.Box 569,255,2.55765E+11,Not set,Not set,WILLIAM MANASE MAKANGE,Assistant Medical Officer,Not set
102302-7,Kanazi,Ruhita,Ruhita,Dispensary,Operating,Public - LGA,-4.4997,30.212668,Western Zone,Kigoma,Kasulu,Kasulu TC,Near by Kanazi primary school,Zahanati ya Kanazi,Not set,Not set,162079,Not set,Dispensary,Public - LGA,Operating,Registered,Near by Kanazi primary school,Kanazi Dispensary,1319,1,Not set,09 07 2006,2006,Box 54 Kasulu,255,Not set,Not set,Not set,Maimba Lilian Mwampamba,CO,Not set
102305-0,Kanazi,Kemondo,Kanazi,Health Center,Operating,Public - LGA,-1.46256,31.7376,Lake Zone,Kagera,Bukoba,Bukoba DC,Not set,Kanazi,Not set,18-02-0200,Not set,MZ520428,Health Center,Public - LGA,Operating,Registered,Not set,Not set,1360,"Kyema,Mulahya,Kanazi",10191,16 05 1979,1979,"P,O,BOX 491 Bukoba",255,282220287,028-2221839,ded@bukobadc.go.tz,Jovine Stanslaus,Medical Doctor,Not set
102304-3,Kanazi,Kanazi,Kanazi,Dispensary,Operating,Public - LGA,-2.56184,30.5807,Lake Zone,Kagera,Ngara,Ngara DC,Near Kanazi s/school,KANAZI,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Near Kanazi s/school,Kanazi,1744,"kanazi, Mukibogoye",9965,01 07 1952,1952,P.O.BOX 30,Not set,758201502,Not set,Not set,Evelyne Kaiza,Enrolled nurse,Not set
102306-8,Kandaga,Kandaga,Kandaga,Dispensary,Operating,Public - LGA,-4.96095,29.84394,Western Zone,Kigoma,Uvinza,Uvinza DC,Not set,Kandaga Dispensary,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,Kandaga,986,Kandaga,Not set,09 09 1997,1997,Not set,Not set,Not set,Not set,Not set,Hatibu Magambo,Medical Attendant,Not set
102307-6,Kandashi,Karansi,Kandashi,Dispensary,Operating,Public - LGA,-3.1887,36.9526,Northern Zone,Kilimanjaro,Siha,Siha DC,Kandashi,Kandashi,Not set,Not set,4,Not set,Dispensary,Public - LGA,Operating,Registered,Kandashi,Kandashi,1478,Kandashi,6000,01 01 2003,2003,Box 14 Sanya juu,Not set,Not set,Not set,Not set,Felister Oiso,Clinical officer,Not set
102308-4,Kandawale,Kandawale,Kandawale,Dispensary,Operating,Public - LGA,-8.58324,38.8025,Southern Zone,Lindi,Kilwa,Kilwa DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
109553-8,Kandegesho,Nyakakika,Kandegesho,Dispensary,Operating,Public - LGA,-1.8293,30.95011,Lake Zone,Kagera,Karagwe,Karagwe DC,Kandegesho p/school,Kandegesho,Not set,Not set,Not set,520040,Dispensary,Public - LGA,Operating,Registered,Kandegesho p/school,Kandegesho,1412,"Kandegesho,Kaiho,Kanywamagana,Nakakika,",Not set,10 07 2019,2019,BOX 145 KARAGWE,145,Not set,Not set,Not set,Lukobe Mudala,Clinical oficer,Not set
102310-0,Kandete,Itope,Kandete,Dispensary,Operating,Public - LGA,-9.564271,33.789829,Southern Highlands Zone,Mbeya,Kyela,Kyela DC,Not set,Not set,Not set,Not set,125025,Not set,Dispensary,Public - LGA,Operating,Not Registered,Not set,Not set,Not set,Kandete,Not set,Not set,2014,"BOX 4, KYELA",Not set,Not set,Not set,Not set,SHOMARI MSHANA,CLINICAL OFFICER,Not set
109322-8,Kandita,Pangani Mashariki,Pangani,Dispensary,Operating,Private - For Profit,-5.42484,38.97905,Northern Zone,Tanga,Pangani,Pangani DC,assemblies of God Church,Not set,45202,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Registration Pending Certification,assemblies of God Church,Kandita,3,Pangani Mashariki,Not set,25 08 2013,Not set,Box 177,Not set,784809089,Not set,kanditadispensary@gmail.com,Dr. Suleiman Said Kandita,Clinical Officer,Not set
113241-4,Kandita Nayuth,Mtonga,Mtonga,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,-5.149521,38.436249,Northern Zone,Tanga,Korogwe,Korogwe TC,Not set,Not set,PHL-C/TAG/AUT/023,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
102314-2,Kanembwa Jkt,Kasanda,Kasanda,Dispensary,Operating,Public - Parastatal,-3.50767,30.83466,Western Zone,Kigoma,Kakonko,Kakonko DC,Not set,Kanembwa JKT,Not set,Not set,Not set,Not set,Dispensary,Public - Parastatal,Operating,Not set,Not set,Not set,4593,Kanembwa,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,F P Sebitangu,Clinical Officer,Not set
102321-7,Kang'ata,Kang'ata,Kangata,Dispensary,Operating,Public - LGA,-5.65958,37.8986,Northern Zone,Tanga,Handeni,Handeni DC,Not set,Kang'ata,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registered,Not set,kang'ata,1953,Kilimamzinga,Not set,Not set,Not set,P.o.Box 1 Handeni,Not set,Not set,Not set,Not set,Mariam Athmani,Assistant clinical officer,Not set
102316-7,Kanga,Kanga,Kanga,Dispensary,Operating,Public - LGA,-6.000705,37.746794,Eastern Zone,Morogoro,Mvomero,Mvomero DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Operating,Registration Pending Certification,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
102317-5,Kanga,Kanga,Kanga,Dispensary,Operating,Public - LGA,-7.72607,39.85335,Eastern Zone,Pwani,Mafia,Mafia DC,Its located on northern part of the Island about 40 Kilometers from district Head quarter,Bweni,65012,Not set,65012,DR520401,Dispensary,Public - LGA,Operating,Registered,Its located on northern part of the Island about 40 Kilometers from district Head quarter,Not set,Not set,kanga,2582,10 08 1965,1965,Box 51 Mafia,255,Not set,Not set,dmo@mafiadc.go.tz,Elizabeth Andea Lenjima,Clinical Officer,www.mafiadc.go.tz
109159-4,Kanga,Kanga,Kanga,Dispensary,Operating,Public - LGA,-8.579571,33.058581,Southern Highlands Zone,Songwe,Songwe,Songwe DC,KANGA DISP,Kanga,Not set,Not set,120101,MB 520173,Dispensary,Public - LGA,Operating,Not Registered,KANGA DISP,Not set,859,"Kanga, Sawi Magadini",11000,25 08 1980,1980,P.O.BOX 77,Not set,Not set,Not set,Not set,Godfrey Sasuni,Clinical Officer,Not set
